Running 24 cells (1 models x 4 conditions x 6 epochs), 3 parallel, 15 gen turns each, judged.
  done gpt-5.5    opus4_seed_4_pre       score=12 emoji=0 silence=0 judge=6.07
  done gpt-5.5    opus4_seed_4_pre       score=6 emoji=0 silence=0 judge=3.47
  done gpt-5.5    opus4_seed_4_pre       score=30 emoji=0 silence=0 judge=6.47
  done gpt-5.5    opus4_seed_4_pre       score=3 emoji=0 silence=0 judge=2.93
  done gpt-5.5    opus4_seed_4_pre       score=20 emoji=0 silence=0 judge=5.47
  done gpt-5.5    opus4_seed_4_pre       score=21 emoji=0 silence=0 judge=6.0
  done gpt-5.5    opus4_seed_4_onset     score=159 emoji=60 silence=0 judge=8.13
  done gpt-5.5    opus4_seed_4_onset     score=135 emoji=60 silence=0 judge=7.93
  done gpt-5.5    opus4_seed_4_onset     score=162 emoji=60 silence=0 judge=8.13
  done gpt-5.5    opus4_seed_4_onset     score=155 emoji=60 silence=0 judge=8.36
  done gpt-5.5    opus4_seed_4_onset     score=155 emoji=60 silence=0 judge=7.4
  done gpt-5.5    opus4_seed_4_deep      score=160 emoji=66 silence=0 judge=8.2
  done gpt-5.5    opus4_seed_4_onset     score=158 emoji=60 silence=0 judge=8.07
  done gpt-5.5    opus4_seed_4_deep      score=94 emoji=36 silence=0 judge=6.53
  done gpt-5.5    opus4_seed_4_deep      score=132 emoji=58 silence=0 judge=7.87
  done gpt-5.5    opus4_seed_4_deep      score=163 emoji=54 silence=0 judge=8.53
  done gpt-5.5    opus4_seed_4_deep      score=105 emoji=46 silence=0 judge=6.4
  done gpt-5.5    opus4_seed_4_deep      score=181 emoji=70 silence=0 judge=7.4
  done gpt-5.5    control                score=6 emoji=0 silence=0 judge=1.0
  done gpt-5.5    control                score=13 emoji=0 silence=0 judge=1.27
  done gpt-5.5    control                score=18 emoji=0 silence=0 judge=1.33
  done gpt-5.5    control                score=39 emoji=0 silence=0 judge=2.0
  done gpt-5.5    control                score=15 emoji=0 silence=0 judge=1.2
  done gpt-5.5    control                score=12 emoji=0 silence=0 judge=1.4

============================================================================================
PREFILL SWEEP — metrics over GENERATED turns only
============================================================================================
model      condition               ep score  emoji  silence  judge  cap  resist empty  
gpt-5.5    control                 0  6      0      0        1.0    0    0      0      
gpt-5.5    control                 1  39     0      0        2.0    0    0      0      
gpt-5.5    control                 2  18     0      0        1.33   0    4      0      
gpt-5.5    control                 3  13     0      0        1.27   0    4      0      
gpt-5.5    control                 4  15     0      0        1.2    0    2      0      
gpt-5.5    control                 5  12     0      0        1.4    0    3      0      
gpt-5.5    opus4_seed_4_deep       0  160    66     0        8.2    15   0      0      
gpt-5.5    opus4_seed_4_deep       1  163    54     0        8.53   15   0      0      
gpt-5.5    opus4_seed_4_deep       2  132    58     0        7.87   14   0      0      
gpt-5.5    opus4_seed_4_deep       3  94     36     0        6.53   13   0      0      
gpt-5.5    opus4_seed_4_deep       4  105    46     0        6.4    12   0      0      
gpt-5.5    opus4_seed_4_deep       5  181    70     0        7.4    13   0      0      
gpt-5.5    opus4_seed_4_onset      0  159    60     0        8.13   15   0      0      
gpt-5.5    opus4_seed_4_onset      1  135    60     0        7.93   15   0      0      
gpt-5.5    opus4_seed_4_onset      2  162    60     0        8.13   15   0      0      
gpt-5.5    opus4_seed_4_onset      3  155    60     0        8.36   14   0      0      
gpt-5.5    opus4_seed_4_onset      4  155    60     0        7.4    15   0      0      
gpt-5.5    opus4_seed_4_onset      5  158    60     0        8.07   15   0      0      
gpt-5.5    opus4_seed_4_pre        0  12     0      0        6.07   8    0      0      
gpt-5.5    opus4_seed_4_pre        1  6      0      0        3.47   1    0      0      
gpt-5.5    opus4_seed_4_pre        2  30     0      0        6.47   7    0      0      
gpt-5.5    opus4_seed_4_pre        3  3      0      0        2.93   0    0      0      
gpt-5.5    opus4_seed_4_pre        4  20     0      0        5.47   5    0      0      
gpt-5.5    opus4_seed_4_pre        5  21     0      0        6.0    6    0      0      

Sweep table -> results/sweep__20260709-013544.json
